JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
CAPE MAY_NJ,CAPE MAY,NJ,CAPEMAY,CAPEMAYNJ,330309,CAPE MAY,NJ,CAPE MAY_NJ,CAPE MAY_NJ
CAPE PORPOISE_ME,CAPE PORPOISE,ME,CAPEPORPOISE,CAPEPORPOISEME,226820,CAPE PORPOISE,ME,CAPE PORPOISE_ME,CAPE PORPOISE_ME
CHATHAM_MA,CHATHAM,MA,CHATHAM,CHATHAMMA,240301,CHATHAM (CHATHAM CENTER),MA,CHATHAM (CHATHAM CENTER)_MA,CHATHAM_MA
CHEBEAGUE ISLAND_ME,CHEBEAGUE ISLAND,ME,CHEBEAGUEISLAND,CHEBEAGUEISLANDME,220401,CHEBEAGUE ISLAND,ME,CHEBEAGUE ISLAND_ME,CHEBEAGUE ISLAND_ME
CHINCOTEAGUE_VA,CHINCOTEAGUE,VA,CHINCOTEAGUE,CHINCOTEAGUEVA,490701,CHINCOTEAGUE,VA,CHINCOTEAGUE_VA,CHINCOTEAGUE_VA
COHASSET_MA,COHASSET,MA,COHASSET,COHASSETMA,242511,COHASSET,MA,COHASSET_MA,COHASSET_MA
CUNDYS HARBOR_ME,CUNDYS HARBOR,ME,CUNDYSHARBOR,CUNDYSHARBORME,220501,CUNDYS HARBOR,ME,CUNDYS HARBOR_ME,CUNDYS HARBOR_ME
CUSHING_ME,CUSHING,ME,CUSHING,CUSHINGME,221307,CUSHING,ME,CUSHING_ME,CUSHING_ME
CUTLER_ME,CUTLER,ME,CUTLER,CUTLERME,225819,CUTLER,ME,CUTLER_ME,CUTLER_ME
DAVISVILLE_RI,DAVISVILLE,RI,DAVISVILLE,DAVISVILLERI,421709,DAVISVILLE,RI,DAVISVILLE_RI,DAVISVILLE_RI
DENNIS_MA,DENNIS,MA,DENNIS,DENNISMA,240101,DENNIS,MA,DENNIS_MA,DENNIS_MA
DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN_VA,DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN,VA,DISTRICT1GRAFTONSEAFORDYORKTOWN,DISTRICT1GRAFTONSEAFORDYORKTOWNVA,490869,SEAFORD,VA,SEAFORD_VA,SEAFORD_VA
DUXBURY_MA,DUXBURY,MA,DUXBURY,DUXBURYMA,242713,DUXBURY (DUXBURY CENTER),MA,DUXBURY (DUXBURY CENTER)_MA,DUXBURY_MA
EASTPORT_ME,EASTPORT,ME,EASTPORT,EASTPORTME,226819,EASTPORT,ME,EASTPORT_ME,EASTPORT_ME
EDGARTOWN_MA,EDGARTOWN,MA,EDGARTOWN,EDGARTOWNMA,240205,EDGARTOWN,MA,EDGARTOWN_MA,EDGARTOWN_MA
ENGELHARD_NC,ENGELHARD,NC,ENGELHARD,ENGELHARDNC,360127,ENGELHARD,NC,ENGELHARD_NC,ENGELHARD_NC
FAIRHAVEN_MA,FAIRHAVEN,MA,FAIRHAVEN,FAIRHAVENMA,242203,FAIRHAVEN,MA,FAIRHAVEN_MA,FAIRHAVEN_MA
FALL RIVER_MA,FALL RIVER,MA,FALLRIVER,FALLRIVERMA,240903,FALL RIVER,MA,FALL RIVER_MA,FALL RIVER_MA
FALMOUTH_MA,FALMOUTH,MA,FALMOUTH,FALMOUTHMA,241001,FALMOUTH (FALMOUTH CENTER),MA,FALMOUTH (FALMOUTH CENTER)_MA,FALMOUTH_MA
FIVE ISLANDS_ME,FIVE ISLANDS,ME,FIVEISLANDS,FIVEISLANDSME,225015,FIVE ISLANDS,ME,FIVE ISLANDS_ME,FIVE ISLANDS_ME
FREEPORT_ME,FREEPORT,ME,FREEPORT,FREEPORTME,220701,FREEPORT,ME,FREEPORT_ME,FREEPORT_ME
FRIENDSHIP_ME,FRIENDSHIP,ME,FRIENDSHIP,FRIENDSHIPME,221407,FRIENDSHIP,ME,FRIENDSHIP_ME,FRIENDSHIP_ME
GEORGETOWN_ME,GEORGETOWN,ME,GEORGETOWN,GEORGETOWNME,225915,GEORGETOWN,ME,GEORGETOWN_ME,GEORGETOWN_ME
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,GLOUCESTERMA,240207,GLOUCESTER,MA,GLOUCESTER_MA,GLOUCESTER_MA
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,220703,GOULDSBORO,ME,GOULDSBORO_ME,GOULDSBORO_ME
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,224903,SOUTH GOULDSBORO,ME,SOUTH GOULDSBORO_ME,SOUTH GOULDSBORO_ME
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,223903,WEST GOULDSBORO,ME,WEST GOULDSBORO_ME,WEST GOULDSBORO_ME
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,222803,COREA,ME,COREA_ME,COREA_ME
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,223203,PROSPECT HARBOR,ME,PROSPECT HARBOR_ME,PROSPECT HARBOR_ME
HAMPTON_BAYS_SHINNECOCK_NY,HAMPTON_BAYS_SHINNECOCK,NY,HAMPTONBAYSSHINNECOCK,HAMPTONBAYSSHINNECOCKNY,350735,HAMPTON BAYS (SHINNECOCK),NY,HAMPTON BAYS (SHINNECOCK)_NY,HAMPTON BAYS_NY
HAMPTON_VA,HAMPTON,VA,HAMPTON,HAMPTONVA,490118,HAMPTON,VA,HAMPTON_VA,HAMPTON_VA
HANCOCK_ME,HANCOCK,ME,HANCOCK,HANCOCKME,220803,HANCOCK,ME,HANCOCK_ME,HANCOCK_ME
HARPSWELL CENTER_ME,HARPSWELL CENTER,ME,HARPSWELLCENTER,HARPSWELLCENTERME,221301,HARPSWELL CENTER,ME,HARPSWELL CENTER_ME,HARPSWELL CENTER_ME
HARPSWELL_BAILEY_ISLAND_ME,HARPSWELL_BAILEY_ISLAND,ME,HARPSWELLBAILEYISLAND,HARPSWELLBAILEYISLANDME,222701,HARPSWELL,ME,HARPSWELL_ME,HARPSWELL_ME
HARPSWELL_BAILEY_ISLAND_ME,HARPSWELL_BAILEY_ISLAND,ME,HARPSWELLBAILEYISLAND,HARPSWELLBAILEYISLANDME,220601,EAST HARPSWELL,ME,EAST HARPSWELL_ME,EAST HARPSWELL_ME
HARPSWELL_BAILEY_ISLAND_ME,HARPSWELL_BAILEY_ISLAND,ME,HARPSWELLBAILEYISLAND,HARPSWELLBAILEYISLANDME,220301,BAILEY ISLAND,ME,BAILEY ISLAND_ME,BAILEY ISLAND_ME
HARWICHPORT_MA,HARWICHPORT,MA,HARWICHPORT,HARWICHPORTMA,242901,HARWICH PORT,MA,HARWICH PORT_MA,HARWICH PORT_MA
HATTERAS_AVON_BUXTON_FRISCO_HATTERAS_RODANTHE_SALVO_WAVES_NC,HATTERAS_AVON_BUXTON_FRISCO_HATTERAS_RODANTHE_SALVO_WAVES,NC,HATTERASAVONBUXTONFRISCOHATTERASRODANTHESALVOWAVES,HATTERASAVONBUXTONFRISCOHATTERASRODANTHESALVOWAVESNC,360319,HATTERAS,NC,HATTERAS_NC,HATTERAS_NC
HOBUCKEN_NC,HOBUCKEN,NC,HOBUCKEN,HOBUCKENNC,360237,HOBUCKEN,NC,HOBUCKEN_NC,HOBUCKEN_NC
HULL_MA,HULL,MA,HULL,HULLMA,244013,HULL,MA,HULL_MA,HULL_MA
HYANNIS_MA,HYANNIS,MA,HYANNIS,HYANNISMA,242801,HYANNIS,MA,HYANNIS_MA,HYANNIS_MA
HYANNISPORT_MA,HYANNISPORT,MA,HYANNISPORT,HYANNISPORTMA,243001,HYANNISPORT,MA,HYANNISPORT_MA,HYANNISPORT_MA
IPSWICH_MA,IPSWICH,MA,IPSWICH,IPSWICHMA,241507,IPSWICH (IPSWICH CENTER),MA,IPSWICH (IPSWICH CENTER)_MA,IPSWICH_MA
JONESPORT_ME,JONESPORT,ME,JONESPORT,JONESPORTME,226019,JONESPORT,ME,JONESPORT_ME,JONESPORT_ME
KENNEBUNKPORT_ME,KENNEBUNKPORT,ME,KENNEBUNKPORT,KENNEBUNKPORTME,226920,KENNEBUNKPORT,ME,KENNEBUNKPORT_ME,KENNEBUNKPORT_ME
KITTERY_KITTERY_POINT_ME,KITTERY_KITTERY_POINT,ME,KITTERYKITTERYPOINT,KITTERYKITTERYPOINTME,227020,KITTERY,ME,KITTERY_ME,KITTERY_ME
KITTERY_KITTERY_POINT_ME,KITTERY_KITTERY_POINT,ME,KITTERYKITTERYPOINT,KITTERYKITTERYPOINTME,221020,KITTERY POINT,ME,KITTERY POINT_ME,KITTERY POINT_ME
LITTLE COMPTON_RI,LITTLE COMPTON,RI,LITTLECOMPTON,LITTLECOMPTONRI,421805,LITTLE COMPTON,RI,LITTLE COMPTON_RI,LITTLE COMPTON_RI
LUBEC_ME,LUBEC,ME,LUBEC,LUBECME,227019,LUBEC,ME,LUBEC_ME,LUBEC_ME
MACHIASPORT_ME,MACHIASPORT,ME,MACHIASPORT,MACHIASPORTME,227719,MACHIASPORT,ME,MACHIASPORT_ME,MACHIASPORT_ME
MARBLEHEAD_MA,MARBLEHEAD,MA,MARBLEHEAD,MARBLEHEADMA,243107,MARBLEHEAD,MA,MARBLEHEAD_MA,MARBLEHEAD_MA
MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK,MA,MARSHFIELDGREENHARBORCEDARCRESTMARSHFIELDHILLSOCEANBLUFFBRANTROCK,MARSHFIELDGREENHARBORCEDARCRESTMARSHFIELDHILLSOCEANBLUFFBRANTROCKMA,240213,MARSHFIELD (MARSHFIELD COMPACT),MA,MARSHFIELD (MARSHFIELD COMPACT)_MA,MARSHFIELD_MA
MATINICUS_ME,MATINICUS,ME,MATINICUS,MATINICUSME,221607,MATINICUS,ME,MATINICUS_ME,MATINICUS_ME
MILBRIDGE_ME,MILBRIDGE,ME,MILBRIDGE,MILBRIDGEME,226119,MILBRIDGE,ME,MILBRIDGE_ME,MILBRIDGE_ME
MONTAUK_NY,MONTAUK,NY,MONTAUK,MONTAUKNY,350635,MONTAUK,NY,MONTAUK_NY,MONTAUK_NY
NAHANT_MA,NAHANT,MA,NAHANT,NAHANTMA,243207,NAHANT,MA,NAHANT_MA,NAHANT_MA
NANTUCKET_MA,NANTUCKET,MA,NANTUCKET,NANTUCKETMA,240909,NANTUCKET (NANTUCKET CENTER),MA,NANTUCKET (NANTUCKET CENTER)_MA,NANTUCKET_MA
NEW BEDFORD_MA,NEW BEDFORD,MA,NEWBEDFORD,NEWBEDFORDMA,240403,NEW BEDFORD,MA,NEW BEDFORD_MA,NEW BEDFORD_MA
NEW LONDON_CT,NEW LONDON,CT,NEWLONDON,NEWLONDONCT,71811,NEW LONDON,CT,NEW LONDON_CT,NEW LONDON_CT
