JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
HARWICHPORT_MA,HARWICHPORT,MA,HARWICHPORT,HARWICHPORTMA,242901,HARWICH PORT,MA,HARWICH PORT_MA,HARWICH PORT_MA
WINTER HARBOR_ME,WINTER HARBOR,ME,WINTERHARBOR,WINTERHARBORME,224003,WINTER HARBOR,ME,WINTER HARBOR_ME,WINTER HARBOR_ME
ROCKPORT_MA,ROCKPORT,MA,ROCKPORT,ROCKPORTMA,241707,ROCKPORT,MA,ROCKPORT_MA,ROCKPORT_MA
STONINGTON_ME,STONINGTON,ME,STONINGTON,STONINGTONME,223503,STONINGTON,ME,STONINGTON_ME,STONINGTON_ME
VIRGINIA BEACH/LYNNHAVEN_VA,VIRGINIA BEACH/LYNNHAVEN,VA,VIRGINIABEACHLYNNHAVEN,VIRGINIABEACHLYNNHAVENVA,NA,NA,NA,NA,NA
MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK,MA,MARSHFIELDGREENHARBORCEDARCRESTMARSHFIELDHILLSOCEANBLUFFBRANTROCK,MARSHFIELDGREENHARBORCEDARCRESTMARSHFIELDHILLSOCEANBLUFFBRANTROCKMA,NA,NA,NA,NA,NA
KENNEBUNKPORT_ME,KENNEBUNKPORT,ME,KENNEBUNKPORT,KENNEBUNKPORTME,226920,KENNEBUNKPORT,ME,KENNEBUNKPORT_ME,KENNEBUNKPORT_ME
NEWPORT NEWS_VA,NEWPORT NEWS,VA,NEWPORTNEWS,NEWPORTNEWSVA,490910,NEWPORT NEWS,VA,NEWPORT NEWS_VA,NEWPORT NEWS_VA
DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN_VA,DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN,VA,DISTRICT1GRAFTONSEAFORDYORKTOWN,DISTRICT1GRAFTONSEAFORDYORKTOWNVA,NA,NA,NA,NA,NA
SEA ISLE CITY_NJ,SEA ISLE CITY,NJ,SEAISLECITY,SEAISLECITYNJ,330509,SEA ISLE CITY,NJ,SEA ISLE CITY_NJ,SEA ISLE CITY_NJ
EASTPORT_ME,EASTPORT,ME,EASTPORT,EASTPORTME,226819,EASTPORT,ME,EASTPORT_ME,EASTPORT_ME
NEWPORT_RI,NEWPORT,RI,NEWPORT,NEWPORTRI,420105,NEWPORT,RI,NEWPORT_RI,NEWPORT_RI
NEWPORT_RI,NEWPORT,RI,NEWPORT,NEWPORTRI,420905,NEWPORT (COUNTY),RI,NEWPORT (COUNTY)_RI,NEWPORT_RI
HAMPTON_VA,HAMPTON,VA,HAMPTON,HAMPTONVA,490118,HAMPTON,VA,HAMPTON_VA,HAMPTON_VA
HAMPTON_VA,HAMPTON,VA,HAMPTON,HAMPTONVA,490918,HAMPTON(COUNTY),VA,HAMPTON(COUNTY)_VA,HAMPTON_VA
SOUTH BRISTOL_ME,SOUTH BRISTOL,ME,SOUTHBRISTOL,SOUTHBRISTOLME,224809,SOUTH BRISTOL,ME,SOUTH BRISTOL_ME,SOUTH BRISTOL_ME
POINT LOOKOUT_NY,POINT LOOKOUT,NY,POINTLOOKOUT,POINTLOOKOUTNY,351215,POINT LOOKOUT,NY,POINT LOOKOUT_NY,POINT LOOKOUT_NY
JONESPORT_ME,JONESPORT,ME,JONESPORT,JONESPORTME,226019,JONESPORT,ME,JONESPORT_ME,JONESPORT_ME
YORK HARBOR_ME,YORK HARBOR,ME,YORKHARBOR,YORKHARBORME,227220,YORK HARBOR,ME,YORK HARBOR_ME,YORK HARBOR_ME
BEVERLY_MA,BEVERLY,MA,BEVERLY,BEVERLYMA,240407,BEVERLY,MA,BEVERLY_MA,BEVERLY_MA
SANDWICH_EAST_SANDWICH_FORESTDALE_MA,SANDWICH_EAST_SANDWICH_FORESTDALE,MA,SANDWICHEASTSANDWICHFORESTDALE,SANDWICHEASTSANDWICHFORESTDALEMA,NA,NA,NA,NA,NA
MILBRIDGE_ME,MILBRIDGE,ME,MILBRIDGE,MILBRIDGEME,226119,MILBRIDGE,ME,MILBRIDGE_ME,MILBRIDGE_ME
ROCKLAND_ME,ROCKLAND,ME,ROCKLAND,ROCKLANDME,220207,ROCKLAND,ME,ROCKLAND_ME,ROCKLAND_ME
BEAUFORT_NC,BEAUFORT,NC,BEAUFORT,BEAUFORTNC,360209,BEAUFORT,NC,BEAUFORT_NC,BEAUFORT_NC
BEAUFORT_NC,BEAUFORT,NC,BEAUFORT,BEAUFORTNC,360901,BEAUFORT(COUNTY),NC,BEAUFORT(COUNTY)_NC,BEAUFORT_NC
ENGELHARD_NC,ENGELHARD,NC,ENGELHARD,ENGELHARDNC,360127,ENGELHARD,NC,ENGELHARD_NC,ENGELHARD_NC
LUBEC_ME,LUBEC,ME,LUBEC,LUBECME,227019,LUBEC,ME,LUBEC_ME,LUBEC_ME
VINALHAVEN_ME,VINALHAVEN,ME,VINALHAVEN,VINALHAVENME,222307,VINALHAVEN,ME,VINALHAVEN_ME,VINALHAVEN_ME
BEALS ISLAND_ME,BEALS ISLAND,ME,BEALSISLAND,BEALSISLANDME,NA,NA,NA,NA,NA
